Model,R² Score,MSE,MAE
Linear Regression,0.7084276987345448,3075.9435828686496,25.516796969730756
Ridge (α=1.0),0.715104943366925,3005.501954191738,25.395945110208974
Lasso (α=1.0),0.6576910250481967,3611.1903987160144,28.625287925304136
"ElasticNet (α=1.0, ρ=0.5)",0.5593646510898898,4648.48501720737,30.7964157078799
