Feature,Linear Regression,Ridge (α=1.0),Lasso (α=1.0),"ElasticNet (α=1.0, ρ=0.5)"
location_Hoskote,-2.4362552684388454,-19.965129752835967,-0.0,-0.0
location_Hosur Road,15.952276717063487,-3.126817414842515,-0.0,-0.0
location_Hulimavu,18.16177309777474,-1.0348422599776363,0.0,-0.0
location_Iblur Village,10.380454217837624,-8.939617729282025,-0.0,0.0
location_Indira Nagar,148.83734173032437,123.65042815672224,0.0,0.0
location_JP Nagar,9.010552940162562,-9.986889574550332,-0.0,-0.0
location_Jakkur,16.232937810511906,-3.2053185370884165,-0.0,-0.0
location_Jalahalli,22.166075499818792,2.8470670486353056,0.0,0.0
location_Jigani,18.755637900931816,-0.3223634995395039,0.0,-0.0
location_KR Puram,0.7738797251886531,-17.972482550624736,-0.0,-0.0
location_Kadugodi,2.549635433814619,-15.978353273792274,-0.0,-0.0
location_Kaggadasapura,4.212509189528377,-14.419322694047338,-0.0,-0.0
location_Kaggalipura,28.067848778588075,8.270872424258362,0.0,0.0
location_Kaikondrahalli,17.987728657996463,-1.152361789817609,-0.0,-0.0
location_Kalena Agrahara,12.917766261809184,-5.903536596075859,-0.0,-0.0
location_Kalyan nagar,16.28023970857516,-2.7953606891054976,-0.0,-0.0
location_Kambipura,24.82208868236426,5.2123773776617925,0.0,-0.0
location_Kammasandra,-1.3815301173051857,-19.33219059173907,-0.0,-0.0
location_Kanakapura,7.236800120482589,-11.043472955273538,-0.0,-0.0
location_Kanakpura Road,6.609992304576784,-12.45767735662795,-0.0,-0.0
location_Kannamangala,11.632579012533093,-7.323560179252853,-0.0,-0.0
location_Kasavanhalli,10.903367343149352,-8.13114926797686,-0.0,-0.0
location_Kasturi Nagar,17.8372357000037,-1.2842793170538926,-0.0,-0.0
location_Kathriguppe,27.02221611424863,7.590968095385578,0.0,-0.0
location_Kaval Byrasandra,20.297538294991046,1.0970152615195905,0.0,-0.0
location_Kenchenahalli,25.93473893577457,6.305179422024801,0.0,0.0
location_Kengeri,12.489582292671596,-6.4044923519089085,-0.0,-0.0
location_Kengeri Satellite Town,10.400221262630229,-8.057113035444388,-0.0,-0.0
location_Kereguddadahalli,2.9542826616838695,-14.59077337224694,-0.0,-0.0
location_Kodichikkanahalli,3.0231103923586398,-15.362130090617292,-0.0,-0.0
location_Kodigehaali,17.882786523947146,-1.200510249650729,-0.0,-0.0
location_Kogilu,16.240354583799938,-2.657614297677731,0.0,-0.0
location_Koramangala,84.29482748513391,63.50301906629892,0.0,0.0
location_Kothannur,3.337459443289344,-14.096307302315182,-0.0,-0.0
location_Kothanur,-0.9629206853390122,-19.671409250534666,-0.0,-0.0
location_Kudlu,10.83747489676201,-7.815803310892746,-0.0,-0.0
location_Kudlu Gate,8.53617155996933,-10.304594835616303,-0.0,-0.0
location_Kumaraswami Layout,6.051428082781541,-11.932502503977837,-0.0,-0.0
location_Kundalahalli,34.13793905396797,14.370188523373432,0.0,0.0
location_Lakshminarayana Pura,34.62291627664368,14.560333586158643,0.0,0.0
location_Lingadheeranahalli,18.199664890353308,-1.138916720812877,0.0,-0.0
location_Magadi Road,1.5844611320287658,-16.271597880771203,-0.0,-0.0
location_Mahadevpura,6.0359815793433045,-12.39891700028652,-0.0,-0.0
location_Mallasandra,10.400047664361306,-7.9924532030821975,-0.0,-0.0
location_Malleshpalya,5.304742497676463,-12.726722285043746,-0.0,-0.0
location_Malleshwaram,137.62420440526023,114.74064056221475,0.0,0.15626388955071605
location_Marathahalli,7.980605795735116,-11.156706248696166,-0.0,-0.0
location_Margondanahalli,-10.15469747629436,-26.555979829474264,-0.0,-0.0
location_Munnekollal,11.281144625829004,-7.057938663104149,-0.0,-0.0
location_Murugeshpalya,1.8788017455096142,-15.34690703020396,-0.0,-0.0
location_Mysore Road,15.635261170887922,-3.5016244339861036,0.0,-0.0
location_Nagarbhavi,18.063967126964172,-0.9201986965962008,0.0,-0.0
location_Nagavara,6.013827975527308,-11.916753621112129,-0.0,-0.0
location_Neeladri Nagar,-10.708181917374521,-27.518885579861955,-0.0,-0.0
location_OMBR Layout,27.78727808678196,7.780382567721778,0.0,0.0
location_Old Airport Road,28.018054167180974,8.235921608227613,0.0,0.0
location_Old Madras Road,-13.962962575402244,-32.80738096904238,-0.0,-0.0
location_Padmanabhanagar,19.13782091842101,-0.046196764644053714,0.0,-0.0
location_Pai Layout,3.576734609670847,-14.325168806181257,-0.0,-0.0
location_Panathur,24.888942294486945,5.3277360997011005,0.0,0.0
location_Poorna Pragna Layout,10.991679681837102,-7.028037589367525,-0.0,-0.0
location_R.T. Nagar,29.756717652693844,10.117294286896781,0.0,0.0
location_Rachenahalli,4.348901255274335,-14.37462525810306,-0.0,-0.0
location_Raja Rajeshwari Nagar,-0.7865552109533134,-19.97519722859672,-0.0,-0.0
location_Rajaji Nagar,163.12225457803478,141.19807993399002,11.998788770979148,1.2825128989680088
location_Ramagondanahalli,3.657307970044584,-15.184088675481934,-0.0,-0.0
location_Ramamurthy Nagar,8.458388486204672,-10.93921527046929,-0.0,-0.0
location_Rayasandra,0.9709765427617896,-16.992892331130133,-0.0,-0.0
location_Sahakara Nagar,25.939376739463604,6.568222024798411,0.0,0.0
