Model,Before α,Before R²,Before MSE,Best α,After R²,After MSE,ΔR²,Improvement
Linear Regression,N/A,0.7084276987345448,3075.9435828686496,N/A,0.7084276987345448,3075.9435828686496,0.0,—
Ridge,alpha=1.0,0.715104943366925,3005.501954191738,alpha=1,0.715104943366925,3005.501954191738,0.0,+0.00%
Lasso,alpha=1.0,0.6576910250481967,3611.1903987160144,alpha=0.01,0.710565950773473,3053.386081318772,0.0528749257252763,+8.04%
ElasticNet,"alpha=1.0, l1_ratio=0.5",0.5593646510898898,4648.48501720737,"alpha=0.001, l1_ratio=0.8",0.7157848004368947,2998.3297983231405,0.156420149347005,+27.96%
