Feature,Coefficient,Abs_Coefficient
location_Thanisandra,13.71087325405863,13.71087325405863
location_Arekere,13.708617905150344,13.708617905150344
availability_20-Sep,-13.627098225270618,13.627098225270618
location_Electronics City Phase 1,13.582788271839068,13.582788271839068
location_Bhoganhalli,13.553407764049581,13.553407764049581
availability_18-Feb,-13.128058985275965,13.128058985275965
availability_21-Oct,13.127183478206184,13.127183478206184
location_Kalena Agrahara,12.917766261809984,12.917766261809984
location_Seegehalli,-12.790581530503182,12.790581530503182
location_Sarjapura - Attibele Road,-12.58880666131892,12.58880666131892
location_Kengeri,12.48958229267221,12.48958229267221
availability_17-Mar,-12.442120484770392,12.442120484770392
availability_20-Dec,-12.252958365610269,12.252958365610269
location_Garudachar Palya,12.203090233877289,12.203090233877289
location_Sarjapur  Road,12.159443521478075,12.159443521478075
availability_17-Aug,-12.140703189709697,12.140703189709697
location_Electronic City,11.859815461935476,11.859815461935476
bhk,-11.811564544734807,11.811564544734807
availability_22-Dec,-11.67915345518523,11.67915345518523
location_Kannamangala,11.632579012533604,11.632579012533604
location_EPIP Zone,11.400901523603176,11.400901523603176
location_Munnekollal,11.28114462582965,11.28114462582965
availability_19-Sep,-11.212852181686603,11.212852181686603
location_Poorna Pragna Layout,10.991679681837805,10.991679681837805
location_Kasavanhalli,10.903367343150009,10.903367343150009
location_Devanahalli,10.864522099698576,10.864522099698576
location_Somasundara Palya,10.8412424586379,10.8412424586379
location_Kudlu,10.837474896763005,10.837474896763005
availability_22-May,-10.710720930400178,10.710720930400178
location_Neeladri Nagar,-10.708181917373839,10.708181917373839
location_Kengeri Satellite Town,10.400221262630941,10.400221262630941
location_Mallasandra,10.400047664362065,10.400047664362065
location_Ambalipura,10.399370844939895,10.399370844939895
location_Iblur Village,10.380454217838206,10.380454217838206
availability_19-Aug,-10.36965122201704,10.36965122201704
location_Margondanahalli,-10.154697476293713,10.154697476293713
bath,10.009798100000415,10.009798100000415
availability_18-May,-9.880437344913659,9.880437344913659
location_Ambedkar Nagar,9.81489614956186,9.81489614956186
location_Bellandur,9.698687548820836,9.698687548820836
location_Banaswadi,9.661263922776413,9.661263922776413
location_Singasandra,-9.617098080694483,9.617098080694483
location_5th Phase JP Nagar,9.457122683656564,9.457122683656564
location_Haralur Road,9.250929063403099,9.250929063403099
availability_22-Mar,9.187147143400233,9.187147143400233
availability_15-Jun,-9.131419632937398,9.131419632937398
location_Dodda Nekkundi,9.057751607995185,9.057751607995185
location_JP Nagar,9.01055294016321,9.01055294016321
availability_21-Jul,-8.856914121512256,8.856914121512256
location_Kudlu Gate,8.53617155997003,8.53617155997003
availability_20-Oct,-8.490779839667415,8.490779839667415
location_Ramamurthy Nagar,8.458388486205068,8.458388486205068
location_Hoodi,8.458221871058871,8.458221871058871
location_TC Palaya,-8.450839711727848,8.450839711727848
location_Gubbalala,-8.390725430918275,8.390725430918275
location_Dommasandra,-8.173609805709312,8.173609805709312
location_Vittasandra,8.145095066154994,8.145095066154994
location_Marathahalli,7.980605795735659,7.980605795735659
location_Sarjapur,-7.692770730655802,7.692770730655802
location_Begur Road,-7.6465408953760035,7.6465408953760035
availability_18-Mar,-7.622720837200074,7.622720837200074
area_type_Super built-up  Area,7.603591009983052,7.603591009983052
availability_18-Apr,-7.597693743663747,7.597693743663747
location_Kanakapura,7.236800120483256,7.236800120483256
location_9th Phase JP Nagar,7.067531375467922,7.067531375467922
location_Bommasandra Industrial Area,6.988954734548457,6.988954734548457
availability_19-Dec,-6.775831351205797,6.775831351205797
availability_21-Feb,6.6943985412125375,6.6943985412125375
location_Ananth Nagar,6.662830965640396,6.662830965640396
location_Kanakpura Road,6.609992304577579,6.609992304577579
location_Horamavu Agara,6.574189134857733,6.574189134857733
availability_19-Oct,-6.499262543367607,6.499262543367607
location_HSR Layout,6.229359932100024,6.229359932100024
location_Kumaraswami Layout,6.051428082782593,6.051428082782593
location_Mahadevpura,6.035981579343774,6.035981579343774
location_Nagavara,6.01382797552786,6.01382797552786
location_Whitefield,5.567310313178542,5.567310313178542
location_Anandapura,-5.551036179469168,5.551036179469168
location_Malleshpalya,5.304742497677196,5.304742497677196
location_Gunjur,-5.284557110578551,5.284557110578551
location_Akshaya Nagar,5.267349250189,5.267349250189
availability_20-Jun,-5.176919092286216,5.176919092286216
availability_20-Nov,-5.121678881473402,5.121678881473402
availability_21-Sep,-5.109831113527343,5.109831113527343
location_Chandapura,5.0327460106645105,5.0327460106645105
location_Hormavu,5.006399098661667,5.006399098661667
location_Bannerghatta Road,4.88437730321526,4.88437730321526
availability_21-Jan,-4.773985119701324,4.773985119701324
location_Doddathoguru,4.518419924983727,4.518419924983727
location_Uttarahalli,4.357522662467858,4.357522662467858
location_Rachenahalli,4.348901255274974,4.348901255274974
location_Begur,-4.271332764054998,4.271332764054998
location_Kaggadasapura,4.212509189529051,4.212509189529051
location_Bommasandra,3.967629816545596,3.967629816545596
location_Battarahalli,-3.8040541555035765,3.8040541555035765
availability_19-Feb,-3.725844385552742,3.725844385552742
location_Ramagondanahalli,3.657307970045088,3.657307970045088
location_Talaghattapura,3.602047803594277,3.602047803594277
location_Varthur,3.5852246117267415,3.5852246117267415
location_Pai Layout,3.576734609671618,3.576734609671618
availability_15-Aug,3.5749496188681293,3.5749496188681293
availability_17-Nov,-3.520146480412823,3.520146480412823
location_Kothannur,3.337459443289987,3.337459443289987
location_Kodichikkanahalli,3.0231103923594533,3.0231103923594533
location_Kereguddadahalli,2.954282661684161,2.954282661684161
location_Hennur,2.891967653528976,2.891967653528976
availability_21-Mar,-2.8322790987440865,2.8322790987440865
location_Banashankari Stage V,-2.7582325798788165,2.7582325798788165
location_Budigere,2.6221210615489445,2.6221210615489445
availability_21-Dec,-2.6144727578204012,2.6144727578204012
location_Bommanahalli,2.5770310962468947,2.5770310962468947
location_Kadugodi,2.5496354338150944,2.5496354338150944
location_Hoskote,-2.4362552684382806,2.4362552684382806
location_Hosa Road,2.424852943584156,2.424852943584156
availability_19-Mar,2.424806685446038,2.424806685446038
availability_16-Mar,-2.3503878217595124,2.3503878217595124
availability_21-May,-2.255148539653633,2.255148539653633
location_Gottigere,-2.016544853566535,2.016544853566535
location_Murugeshpalya,1.8788017455101969,1.8788017455101969
location_Horamavu Banaswadi,-1.6853473464319633,1.6853473464319633
location_Yelahanka,1.6637495988993578,1.6637495988993578
location_Channasandra,-1.6362680038662347,1.6362680038662347
location_Magadi Road,1.5844611320292437,1.5844611320292437
location_Kammasandra,-1.3815301173044379,1.3815301173044379
location_8th Phase JP Nagar,1.162933052893294,1.162933052893294
location_Abbigere,1.0312243751568246,1.0312243751568246
location_Babusapalaya,1.0200253610042296,1.0200253610042296
location_Rayasandra,0.9709765427624362,0.9709765427624362
location_Kothanur,-0.9629206853385206,0.9629206853385206
location_Ardendale,-0.7988433225559533,0.7988433225559533
location_Raja Rajeshwari Nagar,-0.7865552109538854,0.7865552109538854
location_KR Puram,0.7738797251893033,0.7738797251893033
availability_15-Nov,-0.6800065291990265,0.6800065291990265
balcony,-0.6097844397857486,0.6097844397857486
location_Anekal,0.5330020616641917,0.5330020616641917
availability_20-Aug,-0.277625675534118,0.277625675534118
location_Anjanapura,-0.2095977672348539,0.2095977672348539
location_Electronic City Phase II,-0.18554568227095558,0.18554568227095558
availability_20-Mar,0.12076613459961294,0.12076613459961294
availability_15-Oct,-3.410605131648481e-13,3.410605131648481e-13
